,Postcode,OA_Code,Total,Percentage
L32 0SB: E00032714,L32 0SB,E00032714,67,92
L32 0TB: E00032965,L32 0TB,E00032965,68,99
L32 0TB: E00032966,L32 0TB,E00032966,1,1
L32 0TH: E00032967,L32 0TH,E00032967,58,84
L32 0TH: E00032984,L32 0TH,E00032984,11,16
L32 0TP: E00032722,L32 0TP,E00032722,2,67
L32 0TP: E00032726,L32 0TP,E00032726,1,33
L32 0TX: E00032725,L32 0TX,E00032725,40,66
L32 0TX: E00032967,L32 0TX,E00032967,21,34
L32 0UD: E00032723,L32 0UD,E00032723,6,11
L32 0UD: E00032725,L32 0UD,E00032725,48,89
L32 0WA: E00032983,L32 0WA,E00032983,20,51
L32 0WA: E00032984,L32 0WA,E00032984,19,49
L32 0XL: E00032723,L32 0XL,E00032723,6,21
L32 0XL: E00032725,L32 0XL,E00032725,22,79
L32 2AE: E00032716,L32 2AE,E00032716,5,56
L32 2AE: E00032717,L32 2AE,E00032717,4,44
L32 2AW: E00032715,L32 2AW,E00032715,1,1
L32 2AW: E00032719,L32 2AW,E00032719,95,99
L32 2AX: E00032716,L32 2AX,E00032716,14,78
L32 2AX: E00032717,L32 2AX,E00032717,4,22
L32 2AZ: E00032713,L32 2AZ,E00032713,114,98
L32 2AZ: E00032727,L32 2AZ,E00032727,2,2
L32 2BJ: E00032712,L32 2BJ,E00032712,59,97
L32 2BJ: E00032716,L32 2BJ,E00032716,2,3
L32 2BT: E00032716,L32 2BT,E00032716,7,11
L32 2BT: E00032717,L32 2BT,E00032717,57,89
L32 3XY: E00032529,L32 3XY,E00032529,3,4
L32 3XY: E00032530,L32 3XY,E00032530,65,96
L32 4RY: E00032961,L32 4RY,E00032961,6,60
L32 4RY: E00032971,L32 4RY,E00032971,4,40
L32 4SN: E00032968,L32 4SN,E00032968,1,3
L32 4SN: E00032969,L32 4SN,E00032969,31,97
L32 4SS: E00032971,L32 4SS,E00032971,7,88
L32 4SS: E00032974,L32 4SS,E00032974,1,13
L32 4TH: E00032961,L32 4TH,E00032961,1,2
L32 4TH: E00032971,L32 4TH,E00032971,47,98
L32 4UU: E00032970,L32 4UU,E00032970,34,60
L32 4UU: E00032972,L32 4UU,E00032972,23,40
L32 4XD: E00032961,L32 4XD,E00032961,17,71
L32 4XD: E00032971,L32 4XD,E00032971,7,29
L32 5ST: E00032710,L32 5ST,E00032710,8,29
L32 5ST: E00032723,L32 5ST,E00032723,20,71
L32 5TA: E00032710,L32 5TA,E00032710,19,45
L32 5TA: E00032972,L32 5TA,E00032972,23,55
L32 5TW: E00032710,L32 5TW,E00032710,28,80
L32 5TW: E00032723,L32 5TW,E00032723,7,20
L32 6RH: E00032517,L32 6RH,E00032517,8,13
L32 6RH: E00032525,L32 6RH,E00032525,56,88
L32 6RL: E00032517,L32 6RL,E00032517,6,25
L32 6RL: E00032525,L32 6RL,E00032525,5,21
L32 6RL: E00032528,L32 6RL,E00032528,13,54
L32 6RX: E00032609,L32 6RX,E00032609,7,9
L32 6RX: E00032620,L32 6RX,E00032620,70,91
L32 6RY: E00032517,L32 6RY,E00032517,48,96
L32 6RY: E00032525,L32 6RY,E00032525,2,4
L32 6SN: E00032518,L32 6SN,E00032518,8,26
L32 6SN: E00032519,L32 6SN,E00032519,23,74
L32 7PL: E00032531,L32 7PL,E00032531,4,9
L32 7PL: E00032532,L32 7PL,E00032532,39,91
L32 7QH: E00032529,L32 7QH,E00032529,1,2
L32 7QH: E00032532,L32 7QH,E00032532,48,98
L32 7QN: E00032522,L32 7QN,E00032522,12,22
L32 7QN: E00032534,L32 7QN,E00032534,42,78
L32 7QT: E00032522,L32 7QT,E00032522,4,7
L32 7QT: E00032534,L32 7QT,E00032534,57,93
L32 8SX: E00032613,L32 8SX,E00032613,1,1
L32 8SX: E00032616,L32 8SX,E00032616,2,3
L32 8SX: E00032618,L32 8SX,E00032618,73,96
L32 8TE: E00032616,L32 8TE,E00032616,35,97
L32 8TE: E00032618,L32 8TE,E00032618,1,3
L32 8TT: E00032616,L32 8TT,E00032616,14,17
L32 8TT: E00032622,L32 8TT,E00032622,70,83
L32 8UQ: E00032616,L32 8UQ,E00032616,3,13
L32 8UQ: E00032618,L32 8UQ,E00032618,17,71
L32 8UQ: E00032622,L32 8UQ,E00032622,4,17
L32 9BA: E00172021,L32 9BA,E00172021,98,67
L32 9BA: E00172036,L32 9BA,E00172036,49,33
L32 9PR: E00172021,L32 9PR,E00172021,9,30
L32 9PR: E00172036,L32 9PR,E00172036,21,70
L32 9QU: E00032608,L32 9QU,E00032608,85,93
L32 9QU: E00032618,L32 9QU,E00032618,6,7
L32 9RH: E00032618,L32 9RH,E00032618,12,19
L32 9RH: E00032621,L32 9RH,E00032621,52,81
L32 9RW: E00032607,L32 9RW,E00032607,68,94
L32 9RW: E00032608,L32 9RW,E00032608,4,6
L32 9SH: E00172020,L32 9SH,E00172020,70,37
L32 9SH: E00172021,L32 9SH,E00172021,118,63
L3  2EW: E00176618,L3  2EW,E00176618,5,36
L3  2EW: E00176624,L3  2EW,E00176624,9,64
L3  2FB: E00033678,L3  2FB,E00033678,8,73
L3  2FB: E00176624,L3  2FB,E00176624,3,27
L33 0XH: E00032611,L33 0XH,E00032611,7,7
L33 0XH: E00032612,L33 0XH,E00032612,96,93
L33 1RG: E00032887,L33 1RG,E00032887,26,57
L33 1RG: E00032907,L33 1RG,E00032907,20,43
L33 1RH: E00032903,L33 1RH,E00032903,8,21
L33 1RH: E00032906,L33 1RH,E00032906,31,79
L33 1XA: E00172026,L33 1XA,E00172026,2,67
L33 1XA: E00172030,L33 1XA,E00172030,1,33
L33 1ZN: E00032896,L33 1ZN,E00032896,16,94
L33 1ZN: E00032897,L33 1ZN,E00032897,1,6
L33 2DZ: E00032730,L33 2DZ,E00032730,4,9
L33 2DZ: E00032731,L33 2DZ,E00032731,40,91
L33 4BB: E00032910,L33 4BB,E00032910,20,56
L33 4BB: E00172030,L33 4BB,E00172030,16,44
L33 4DQ: E00032900,L33 4DQ,E00032900,146,71
L33 4DQ: E00172030,L33 4DQ,E00172030,17,8
L33 4DQ: E00172031,L33 4DQ,E00172031,34,16
L33 4DQ: E00172034,L33 4DQ,E00172034,10,5
L33 4DW: E00172023,L33 4DW,E00172023,74,77
L33 4DW: E00172024,L33 4DW,E00172024,22,23
L33 4EG: E00172023,L33 4EG,E00172023,25,25
L33 4EG: E00172024,L33 4EG,E00172024,76,75
L33 4EL: E00032904,L33 4EL,E00032904,2,5
L33 4EL: E00172033,L33 4EL,E00172033,35,95
L33 4ES: E00172024,L33 4ES,E00172024,46,64
L33 4ES: E00172032,L33 4ES,E00172032,26,36
L33 4ET: E00172024,L33 4ET,E00172024,30,65
L33 4ET: E00172032,L33 4ET,E00172032,16,35
L33 4EX: E00172024,L33 4EX,E00172024,47,84
L33 4EX: E00172032,L33 4EX,E00172032,9,16
L33 4FE: E00172030,L33 4FE,E00172030,30,32
L33 4FE: E00172031,L33 4FE,E00172031,63,68
L33 4GB: E00172032,L33 4GB,E00172032,54,51
L33 4GB: E00172033,L33 4GB,E00172033,12,11
L33 4GB: E00172034,L33 4GB,E00172034,39,37
L33 4HG: E00172031,L33 4HG,E00172031,29,31
L33 4HG: E00172032,L33 4HG,E00172032,39,41
L33 4HG: E00172034,L33 4HG,E00172034,27,28
L33 4HS: E00032910,L33 4HS,E00032910,11,6
L33 4HS: E00172026,L33 4HS,E00172026,9,5
L33 4HS: E00172030,L33 4HS,E00172030,163,82
L33 4HS: E00172034,L33 4HS,E00172034,17,9
L33 4HX: E00032910,L33 4HX,E00032910,8,31
L33 4HX: E00172026,L33 4HX,E00172026,16,62
L33 4HX: E00172030,L33 4HX,E00172030,2,8
L33 4JA: E00172033,L33 4JA,E00172033,22,59
L33 4JA: E00172034,L33 4JA,E00172034,15,41
L33 4JB: E00172033,L33 4JB,E00172033,41,93
L33 4JB: E00172034,L33 4JB,E00172034,3,7
L33 4JD: E00172033,L33 4JD,E00172033,66,78
L33 4JD: E00172034,L33 4JD,E00172034,19,22
L33 4JE: E00172033,L33 4JE,E00172033,6,8
L33 4JE: E00172034,L33 4JE,E00172034,70,92
L33 4YB: E00129302,L33 4YB,E00129302,2,7
L33 4YB: E00129306,L33 4YB,E00129306,26,93
L33 4YH: E00129302,L33 4YH,E00129302,6,50
L33 4YH: E00129306,L33 4YH,E00129306,6,50
L33 4YX: E00032890,L33 4YX,E00032890,11,12
L33 4YX: E00032891,L33 4YX,E00032891,81,88
L33 5XA: E00032674,L33 5XA,E00032674,33,53
L33 5XA: E00032679,L33 5XA,E00032679,29,47
L33 6UF: E00032677,L33 6UF,E00032677,62,98
L33 6UF: E00032680,L33 6UF,E00032680,1,2
L33 6UP: E00032669,L33 6UP,E00032669,10,77
L33 6UP: E00032677,L33 6UP,E00032677,3,23
L33 6XB: E00032671,L33 6XB,E00032671,73,97
L33 6XB: E00032685,L33 6XB,E00032685,2,3
L33 6YN: E00032669,L33 6YN,E00032669,6,26
L33 6YN: E00032680,L33 6YN,E00032680,17,74
L33 8WW: E00032670,L33 8WW,E00032670,9,21
L33 8WW: E00032680,L33 8WW,E00032680,34,79
L33 9TB: E00032669,L33 9TB,E00032669,42,82
L33 9TB: E00032676,L33 9TB,E00032676,9,18
L33 9TD: E00032675,L33 9TD,E00032675,21,45
L33 9TD: E00032889,L33 9TD,E00032889,26,55
L33 9UN: E00032898,L33 9UN,E00032898,70,96
L33 9UN: E00172028,L33 9UN,E00172028,3,4
L3  3BZ: E00176618,L3  3BZ,E00176618,11,73
L3  3BZ: E00176633,L3  3BZ,E00176633,4,27
L34 1NR: E00032645,L34 1NR,E00032645,4,67
L34 1NR: E00032772,L34 1NR,E00032772,2,33
L34 1PN: E00032752,L34 1PN,E00032752,156,96
L34 1PN: E00032756,L34 1PN,E00032756,6,4
L34 2QG: E00034587,L34 2QG,E00034587,2,4
L34 2QG: E00034589,L34 2QG,E00034589,50,96
L34 2QZ: E00034589,L34 2QZ,E00034589,4,6
L34 2QZ: E00034609,L34 2QZ,E00034609,58,94
L34 2RD: E00032759,L34 2RD,E00032759,5,10
L34 2RD: E00034588,L34 2RD,E00034588,47,90
L34 2RQ: E00032923,L34 2RQ,E00032923,4,6
L34 2RQ: E00034612,L34 2RQ,E00034612,58,94
L34 2SG: E00032733,L34 2SG,E00032733,89,94
L34 2SG: E00032923,L34 2SG,E00032923,6,6
L34 3LS: E00032760,L34 3LS,E00032760,38,97
L34 3LS: E00032771,L34 3LS,E00032771,1,3
L34 3LT: E00032760,L34 3LT,E00032760,62,95
L34 3LT: E00032771,L34 3LT,E00032771,3,5
L34 3LY: E00032760,L34 3LY,E00032760,10,16
L34 3LY: E00032771,L34 3LY,E00032771,54,84
L34 3LZ: E00032760,L34 3LZ,E00032760,1,3
L34 3LZ: E00032771,L34 3LZ,E00032771,35,97
L34 3NA: E00032760,L34 3NA,E00032760,52,81
L34 3NA: E00032771,L34 3NA,E00032771,12,19
L34 3NB: E00032760,L34 3NB,E00032760,21,81
L34 3NB: E00032771,L34 3NB,E00032771,5,19
L34 4AE: E00032631,L34 4AE,E00032631,42,95
L34 4AE: E00032645,L34 4AE,E00032645,2,5
L34 4AN: E00032631,L34 4AN,E00032631,2,67
L34 4AN: E00032645,L34 4AN,E00032645,1,33
L34 5PB: E00032757,L34 5PB,E00032757,23,66
L34 5PB: E00032768,L34 5PB,E00032768,12,34
L34 5PD: E00032757,L34 5PD,E00032757,3,5
L34 5PD: E00032768,L34 5PD,E00032768,60,95
L34 5QE: E00032773,L34 5QE,E00032773,6,67
L34 5QE: E00172018,L34 5QE,E00172018,3,33
L34 5SG: E00032757,L34 5SG,E00032757,8,73
L34 5SG: E00032769,L34 5SG,E00032769,3,27
L34 5SU: E00032744,L34 5SU,E00032744,8,32
L34 5SU: E00032769,L34 5SU,E00032769,17,68
L34 6HS: E00032763,L34 6HS,E00032763,21,91
L34 6HS: E00032765,L34 6HS,E00032765,2,9
L34 6JQ: E00032631,L34 6JQ,E00032631,4,21
L34 6JQ: E00034594,L34 6JQ,E00034594,15,79
L34 6LG: E00032759,L34 6LG,E00032759,74,94
L34 6LG: E00032764,L34 6LG,E00032764,5,6
L34 6NJ: E00032761,L34 6NJ,E00032761,7,39
L34 6NJ: E00172018,L34 6NJ,E00172018,11,61
L34 8HB: E00032629,L34 8HB,E00032629,76,87
L34 8HB: E00032631,L34 8HB,E00032631,6,7
L34 8HB: E00032648,L34 8HB,E00032648,5,6
L34 8HJ: E00032678,L34 8HJ,E00032678,2,50
L34 8HJ: E00035068,L34 8HJ,E00035068,2,50
L3  4DH: E00033004,L3  4DH,E00033004,9,14
L3  4DH: E00176638,L3  4DH,E00176638,54,86
L3  4FB: E00176603,L3  4FB,E00176603,18,15
L3  4FB: E00176606,L3  4FB,E00176606,84,70
L3  4FB: E00176608,L3  4FB,E00176608,18,15
L3  4FD: E00176604,L3  4FD,E00176604,25,26
L3  4FD: E00176608,L3  4FD,E00176608,71,74
L3  4FE: E00176603,L3  4FE,E00176603,67,72
L3  4FE: E00176604,L3  4FE,E00176604,26,28
L3  4FF: E00176603,L3  4FF,E00176603,94,97
L3  4FF: E00176605,L3  4FF,E00176605,3,3
L3  4FG: E00176604,L3  4FG,E00176604,16,14
L3  4FG: E00176605,L3  4FG,E00176605,72,62
L3  4FG: E00176607,L3  4FG,E00176607,28,24
L35 0LH: E00034947,L35 0LH,E00034947,2,3
L35 0LH: E00034955,L35 0LH,E00034955,56,97
L35 0LX: E00034925,L35 0LX,E00034925,2,15
L35 0LX: E00034927,L35 0LX,E00034927,2,15
L35 0LX: E00034930,L35 0LX,E00034930,9,69
L35 0NB: E00034925,L35 0NB,E00034925,11,22
L35 0NB: E00034927,L35 0NB,E00034927,38,78
L35 0PG: E00034927,L35 0PG,E00034927,4,21
L35 0PG: E00034933,L35 0PG,E00034933,15,79
L35 1QU: E00032565,L35 1QU,E00032565,5,56
L35 1QU: E00032934,L35 1QU,E00032934,4,44
L35 1RP: E00032563,L35 1RP,E00032563,140,99
L35 1RP: E00032564,L35 1RP,E00032564,1,1
L35 2UA: E00032745,L35 2UA,E00032745,79,87
L35 2UA: E00032924,L35 2UA,E00032924,12,13
L35 2YD: E00032915,L35 2YD,E00032915,4,18
L35 2YD: E00032928,L35 2YD,E00032928,18,82
L35 3PT: E00032942,L35 3PT,E00032942,11,58
L35 3PT: E00032944,L35 3PT,E00032944,8,42
L35 3PX: E00032942,L35 3PX,E00032942,6,16
L35 3PX: E00032944,L35 3PX,E00032944,31,84
L35 3QL: E00032740,L35 3QL,E00032740,39,74
L35 3QL: E00032921,L35 3QL,E00032921,14,26
L35 3SS: E00032944,L35 3SS,E00032944,4,31
L35 3SS: E00034930,L35 3SS,E00034930,9,69
L35 3TL: E00032942,L35 3TL,E00032942,5,42
L35 3TL: E00032944,L35 3TL,E00032944,7,58
L35 3TR: E00032945,L35 3TR,E00032945,5,14
L35 3TR: E00032948,L35 3TR,E00032948,32,86
L35 3TT: E00032945,L35 3TT,E00032945,29,91
L35 3TT: E00032948,L35 3TT,E00032948,3,9
L35 3XJ: E00032939,L35 3XJ,E00032939,2,6
L35 3XJ: E00032946,L35 3XJ,E00032946,30,94
L35 4LZ: E00034924,L35 4LZ,E00034924,9,75
L35 4LZ: E00034955,L35 4LZ,E00034955,3,25
L35 4NF: E00034926,L35 4NF,E00034926,2,5
L35 4NF: E00034929,L35 4NF,E00034929,39,95
L35 4NZ: E00034947,L35 4NZ,E00034947,88,99
L35 4NZ: E00034952,L35 4NZ,E00034952,1,1
L35 4PE: E00034942,L35 4PE,E00034942,6,86
L35 4PE: E00034952,L35 4PE,E00034952,1,14
L35 4PH: E00034614,L35 4PH,E00034614,30,58
L35 4PH: E00034939,L35 4PH,E00034939,22,42
L35 4PX: E00034614,L35 4PX,E00034614,92,96
L35 4PX: E00034939,L35 4PX,E00034939,4,4
L35 5AF: E00032742,L35 5AF,E00032742,6,14
L35 5AF: E00032924,L35 5AF,E00032924,38,86
L35 5AR: E00032751,L35 5AR,E00032751,101,93
L35 5AR: E00032924,L35 5AR,E00032924,8,7
L35 5AS: E00032751,L35 5AS,E00032751,79,93
L35 5AS: E00032924,L35 5AS,E00032924,6,7
L35 5AT: E00032751,L35 5AT,E00032751,58,54
L35 5AT: E00032914,L35 5AT,E00032914,10,9
L35 5AT: E00032924,L35 5AT,E00032924,39,36
L35 5DJ: E00032748,L35 5DJ,E00032748,9,19
L35 5DJ: E00032749,L35 5DJ,E00032749,38,81
L35 5HE: E00032751,L35 5HE,E00032751,54,63
L35 5HE: E00032924,L35 5HE,E00032924,32,37
L35 5HJ: E00032745,L35 5HJ,E00032745,2,2
L35 5HJ: E00032746,L35 5HJ,E00032746,88,98
L35 5JG: E00032735,L35 5JG,E00032735,2,67
L35 5JG: E00032749,L35 5JG,E00032749,1,33
L35 6PB: E00034920,L35 6PB,E00034920,4,40
L35 6PB: E00034936,L35 6PB,E00034936,6,60
L35 6PE: E00034931,L35 6PE,E00034931,44,94
L35 6PE: E00034936,L35 6PE,E00034936,3,6
L35 6PG: E00034922,L35 6PG,E00034922,9,31
L35 6PG: E00062526,L35 6PG,E00062526,20,69
L35 7JA: E00032742,L35 7JA,E00032742,35,83
L35 7JA: E00032917,L35 7JA,E00032917,7,17
L35 7JX: E00032923,L35 7JX,E00032923,18,50
L35 7JX: E00034613,L35 7JX,E00034613,18,50
L35 7LL: E00032742,L35 7LL,E00032742,44,68
L35 7LL: E00032923,L35 7LL,E00032923,21,32
L35 7LW: E00032742,L35 7LW,E00032742,34,68
L35 7LW: E00032923,L35 7LW,E00032923,16,32
L35 7NH: E00032913,L35 7NH,E00032913,60,61
L35 7NH: E00032925,L35 7NH,E00032925,27,28
L35 7NH: E00032926,L35 7NH,E00032926,11,11
L35 7NZ: E00032913,L35 7NZ,E00032913,17,19
L35 7NZ: E00032925,L35 7NZ,E00032925,37,42
L35 7NZ: E00032926,L35 7NZ,E00032926,35,39
L35 8PT: E00032912,L35 8PT,E00032912,2,4
L35 8PT: E00034937,L35 8PT,E00034937,48,96
L3  5BB: E00176712,L3  5BB,E00176712,8,80
L3  5BB: E00176713,L3  5BB,E00176713,2,20
L3  5LJ: E00034211,L3  5LJ,E00034211,49,58
L3  5LJ: E00176691,L3  5LJ,E00176691,35,42
L3  5QR: E00176712,L3  5QR,E00176712,29,71
L3  5QR: E00176713,L3  5QR,E00176713,12,29
L3  5QW: E00176711,L3  5QW,E00176711,235,97
L3  5QW: E00176712,L3  5QW,E00176712,7,3
L3  5RY: E00176635,L3  5RY,E00176635,6,67
L3  5RY: E00176691,L3  5RY,E00176691,3,33
L36 0SQ: E00032822,L36 0SQ,E00032822,45,96
L36 0SQ: E00032837,L36 0SQ,E00032837,2,4
L36 0TJ: E00032562,L36 0TJ,E00032562,55,79
L36 0TJ: E00032840,L36 0TJ,E00032840,15,21
L36 1TE: E00032754,L36 1TE,E00032754,50,54
L36 1TE: E00032848,L36 1TE,E00032848,42,46
L36 1TF: E00032754,L36 1TF,E00032754,33,73
L36 1TF: E00032848,L36 1TF,E00032848,12,27
L36 1TN: E00032753,L36 1TN,E00032753,19,37
L36 1TN: E00032855,L36 1TN,E00032855,33,63
L36 1TZ: E00032755,L36 1TZ,E00032755,28,37
L36 1TZ: E00032850,L36 1TZ,E00032850,47,63
L36 1UZ: E00032850,L36 1UZ,E00032850,3,17
L36 1UZ: E00032857,L36 1UZ,E00032857,15,83
L36 1XP: E00032850,L36 1XP,E00032850,33,87
L36 1XP: E00032857,L36 1XP,E00032857,5,13
L36 2NP: E00032703,L36 2NP,E00032703,35,90
L36 2NP: E00033629,L36 2NP,E00033629,4,10
L36 2NT: E00032695,L36 2NT,E00032695,63,91
L36 2NT: E00032696,L36 2NT,E00032696,6,9
L36 2PS: E00032694,L36 2PS,E00032694,115,96
L36 2PS: E00032700,L36 2PS,E00032700,5,4
L36 2QA: E00032707,L36 2QA,E00032707,7,64
L36 2QA: E00032709,L36 2QA,E00032709,4,36
L36 3SH: E00032668,L36 3SH,E00032668,89,90
L36 3SH: E00172127,L36 3SH,E00172127,10,10
L36 3SL: E00032665,L36 3SL,E00032665,63,95
L36 3SL: E00172127,L36 3SL,E00172127,3,5
L36 3TB: E00032775,L36 3TB,E00032775,104,98
L36 3TB: E00032791,L36 3TB,E00032791,2,2
L36 3XD: E00032662,L36 3XD,E00032662,10,22
L36 3XD: E00172127,L36 3XD,E00172127,35,78
L36 3XL: E00032662,L36 3XL,E00032662,45,46
L36 3XL: E00172127,L36 3XL,E00172127,52,54
L36 3XW: E00032662,L36 3XW,E00032662,29,78
L36 3XW: E00172038,L36 3XW,E00172038,8,22
L36 4JS: E00032698,L36 4JS,E00032698,98,98
L36 4JS: E00032862,L36 4JS,E00032862,2,2
L36 4JX: E00032687,L36 4JX,E00032687,53,52
L36 4JX: E00032880,L36 4JX,E00032880,48,48
L36 4JZ: E00032698,L36 4JZ,E00032698,51,52
L36 4JZ: E00032880,L36 4JZ,E00032880,47,48
L36 4LD: E00032699,L36 4LD,E00032699,26,21
L36 4LD: E00032862,L36 4LD,E00032862,98,79
L36 4LR: E00032687,L36 4LR,E00032687,59,63
L36 4LR: E00032880,L36 4LR,E00032880,34,37
L36 4NJ: E00032687,L36 4NJ,E00032687,41,60
L36 4NJ: E00032880,L36 4NJ,E00032880,27,40
L36 4PP: E00032691,L36 4PP,E00032691,5,8
L36 4PP: E00032873,L36 4PP,E00032873,56,92
L36 5ST: E00032829,L36 5ST,E00032829,62,97
L36 5ST: E00032831,L36 5ST,E00032831,2,3
L36 5SX: E00032795,L36 5SX,E00032795,3,7
L36 5SX: E00032833,L36 5SX,E00032833,38,93
L36 5UT: E00032561,L36 5UT,E00032561,15,83
L36 5UT: E00032807,L36 5UT,E00032807,3,17
L36 5UW: E00032808,L36 5UW,E00032808,2,4
L36 5UW: E00032810,L36 5UW,E00032810,51,96
L36 5UZ: E00032795,L36 5UZ,E00032795,18,29
L36 5UZ: E00032801,L36 5UZ,E00032801,45,71
L36 5YD: E00032795,L36 5YD,E00032795,3,7
L36 5YD: E00032796,L36 5YD,E00032796,36,88
L36 5YD: E00032799,L36 5YD,E00032799,2,5
L36 5YJ: E00032797,L36 5YJ,E00032797,48,94
L36 5YJ: E00032807,L36 5YJ,E00032807,3,6
L36 6EL: E00032825,L36 6EL,E00032825,13,87
L36 6EL: E00032826,L36 6EL,E00032826,2,13
L36 6HN: E00032841,L36 6HN,E00032841,10,14
L36 6HN: E00032922,L36 6HN,E00032922,62,86
L36 7RX: E00032657,L36 7RX,E00032657,8,73
L36 7RX: E00172022,L36 7RX,E00172022,3,27
L36 7SA: E00032853,L36 7SA,E00032853,65,97
L36 7SA: E00032858,L36 7SA,E00032858,2,3
L36 7TY: E00032650,L36 7TY,E00032650,10,28
L36 7TY: E00032660,L36 7TY,E00032660,26,72
L36 7UW: E00032846,L36 7UW,E00032846,8,73
L36 7UW: E00032858,L36 7UW,E00032858,3,27
L36 8BS: E00032628,L36 8BS,E00032628,14,28
L36 8BS: E00032667,L36 8BS,E00032667,36,72
L36 8BW: E00032628,L36 8BW,E00032628,33,60
L36 8BW: E00032667,L36 8BW,E00032667,22,40
L36 8BY: E00032644,L36 8BY,E00032644,50,58
L36 8BY: E00032667,L36 8BY,E00032667,36,42
L36 8BZ: E00032644,L36 8BZ,E00032644,49,54
L36 8BZ: E00032667,L36 8BZ,E00032667,42,46
L36 8DD: E00032644,L36 8DD,E00032644,41,54
L36 8DD: E00032664,L36 8DD,E00032664,35,46
L36 8DG: E00032628,L36 8DG,E00032628,4,4
L36 8DG: E00032666,L36 8DG,E00032666,94,96
L36 8DL: E00032644,L36 8DL,E00032644,12,33
L36 8DL: E00032663,L36 8DL,E00032663,24,67
L36 8DS: E00032665,L36 8DS,E00032665,11,29
L36 8DS: E00172127,L36 8DS,E00172127,27,71
L36 8DW: E00032649,L36 8DW,E00032649,68,96
L36 8DW: E00032664,L36 8DW,E00032664,3,4
L36 8DX: E00032663,L36 8DX,E00032663,93,90
L36 8DX: E00172127,L36 8DX,E00172127,10,10
L36 8ES: E00032646,L36 8ES,E00032646,12,13
L36 8ES: E00032666,L36 8ES,E00032666,78,87
L36 8ET: E00032646,L36 8ET,E00032646,9,9
L36 8ET: E00032653,L36 8ET,E00032653,94,91
L36 8FG: E00172038,L36 8FG,E00172038,63,58
L36 8FG: E00172127,L36 8FG,E00172127,46,42
L36 8HG: E00032628,L36 8HG,E00032628,49,53
L36 8HG: E00032667,L36 8HG,E00032667,43,47
L36 8HH: E00032628,L36 8HH,E00032628,6,12
L36 8HH: E00032666,L36 8HH,E00032666,44,88
L36 8HJ: E00032628,L36 8HJ,E00032628,35,57
L36 8HJ: E00032667,L36 8HJ,E00032667,26,43
L36 8HT: E00032646,L36 8HT,E00032646,13,17
L36 8HT: E00032653,L36 8HT,E00032653,62,83
L36 8HW: E00032627,L36 8HW,E00032627,3,4
L36 8HW: E00032644,L36 8HW,E00032644,65,96
L3  6AL: E00176628,L3  6AL,E00176628,61,98
L3  6AL: E00176643,L3  6AL,E00176643,1,2
L3  6DD: E00034354,L3  6DD,E00034354,12,80
L3  6DD: E00034364,L3  6DD,E00034364,3,20
L3  6HB: E00034363,L3  6HB,E00034363,24,32
L3  6HB: E00176685,L3  6HB,E00176685,52,68
L3  6LN: E00034359,L3  6LN,E00034359,45,94
L3  6LN: E00176596,L3  6LN,E00176596,3,6
L3  6LP: E00176643,L3  6LP,E00176643,3,3
L3  6LP: E00176685,L3  6LP,E00176685,101,97
L37 0AN: E00035444,L37 0AN,E00035444,8,80
L37 0AN: E00035451,L37 0AN,E00035451,2,20
L37 1LH: E00035428,L37 1LH,E00035428,51,91
L37 1LH: E00035453,L37 1LH,E00035453,5,9
L37 1NU: E00035421,L37 1NU,E00035421,1,2
L37 1NU: E00035427,L37 1NU,E00035427,52,98
L37 2EG: E00035425,L37 2EG,E00035425,5,5
L37 2EG: E00035438,L37 2EG,E00035438,89,95
L37 2HT: E00035440,L37 2HT,E00035440,40,95
L37 2HT: E00035443,L37 2HT,E00035443,2,5
L37 3HA: E00035842,L37 3HA,E00035842,5,6
L37 3HA: E00035867,L37 3HA,E00035867,79,94
L37 3JB: E00035842,L37 3JB,E00035842,28,62
L37 3JB: E00035872,L37 3JB,E00035872,17,38
L37 3JE: E00035842,L37 3JE,E00035842,1,3
L37 3JE: E00035872,L37 3JE,E00035872,39,98
L37 3JN: E00035428,L37 3JN,E00035428,24,65
L37 3JN: E00035864,L37 3JN,E00035864,13,35
L37 3JT: E00035420,L37 3JT,E00035420,26,87
L37 3JT: E00035871,L37 3JT,E00035871,4,13
L37 3NG: E00035420,L37 3NG,E00035420,10,30
L37 3NG: E00035869,L37 3NG,E00035869,23,70
L37 3NH: E00035420,L37 3NH,E00035420,27,93
L37 3NH: E00035455,L37 3NH,E00035455,2,7
L37 6BT: E00035854,L37 6BT,E00035854,19,79
L37 6BT: E00035858,L37 6BT,E00035858,5,21
L37 6BZ: E00035854,L37 6BZ,E00035854,13,31
L37 6BZ: E00035878,L37 6BZ,E00035878,29,69
L37 6DF: E00035846,L37 6DF,E00035846,56,93
L37 6DF: E00035879,L37 6DF,E00035879,4,7
L37 6EW: E00035845,L37 6EW,E00035845,40,98
L37 6EW: E00035855,L37 6EW,E00035855,1,2
L37 7BR: E00035453,L37 7BR,E00035453,23,30
L37 7BR: E00035862,L37 7BR,E00035862,53,70
L37 7DE: E00035453,L37 7DE,E00035453,2,5
L37 7DE: E00035862,L37 7DE,E00035862,39,95
L37 7DF: E00035453,L37 7DF,E00035453,6,11
L37 7DF: E00035862,L37 7DF,E00035862,51,89
L37 7DY: E00035446,L37 7DY,E00035446,84,98
